"id","case_","utm.easting","utm.northing","location-long","location-lat","timestamp","LandClass","Elevation","PopDens","landC","elev","popD","used"
74,1,590129.991325462,4732941.66753334,-73.8987953,42.7437001,2011-02-11 18:06:13,"50",110.262104308811,90.0197099361709,"forest",-0.677043633963495,-0.386483365218607,"used"
74,1,590136.260993499,4732940.48320456,-73.8987189,42.7436887,2011-02-11 18:06:13,"50",111.106307332763,89.7069348058583,"forest",-0.67077896246043,-0.387495895827156,"used"
74,1,590138.481101216,4732935.33659516,-73.8986926,42.7436421,2011-02-11 18:06:13,"50",111.817967241554,89.9732577377373,"forest",-0.665497868429748,-0.38663374249669,"used"
74,1,590143.98064728,4732946.74797407,-73.8986236,42.7437442,2011-02-11 18:06:13,"50",111.449301235242,88.7044264458804,"forest",-0.668233669366678,-0.390741263829366,"used"
74,1,590137.036155815,4732940.04906291,-73.8987095,42.7436847,2011-02-11 18:06:13,"50",111.236474664035,89.6912556625587,"forest",-0.669813015232433,-0.387546653099612,"used"
74,1,590125.953129551,4732936.20604072,-73.8988455,42.7436514,2011-02-11 18:06:13,"50",110.155864752128,90.7111691266786,"forest",-0.677832017686799,-0.384244940461972,"used"
74,1,590139.17404168,4732940.57674446,-73.8986833,42.7436892,2011-02-11 18:06:13,"50",111.450057465609,89.5107298249037,"forest",-0.66822805752368,-0.388131059973895,"used"
74,1,590139.063621732,4732923.31597919,-73.8986874,42.7435338,2011-02-11 18:06:13,"50",111.646871219187,90.8941653802602,"forest",-0.666767539759034,-0.383652536239118,"used"
74,1,590136.703635282,4732933.53638194,-73.8987146,42.7436261,2011-02-11 18:06:13,"50",111.740543337565,90.2308049382018,"forest",-0.666072416626346,-0.385799998383609,"used"
74,1,590135.810914419,4732934.82418159,-73.8987253,42.7436378,2011-02-11 18:06:13,"50",111.518016566454,90.185785127385,"forest",-0.667723745847035,-0.385945738668002,"used"
74,1,590140.937531061,4732940.31098811,-73.8986618,42.7436866,2011-02-11 18:06:13,"50",111.686870764852,89.4177024569731,"forest",-0.666470710670824,-0.388432212617868,"used"
74,1,590140.585583494,4732941.56141762,-73.8986659,42.7436979,2011-02-11 18:06:13,"50",111.532585665627,89.340604031845,"forest",-0.667615631308441,-0.388681799326488,"used"
74,1,590136.267771835,4732916.74894555,-73.8987226,42.743475,2011-02-11 18:06:13,"50",111.112585599976,91.5929650806981,"forest",-0.670732372622929,-0.381390348432718,"used"
74,1,590138.136745817,4732942.90665778,-73.8986956,42.7437103,2011-02-11 18:06:13,"50",111.124889452882,89.3923068905884,"forest",-0.670641068049874,-0.388514424359768,"used"
74,1,590128.929686966,4732954.64815484,-73.8988062,42.7438171,2011-02-11 18:06:13,"50",109.189172419243,89.0646248166846,"forest",-0.685005659261433,-0.38957521243895,"used"
74,1,590142.173500601,4732966.67146502,-73.8986425,42.7439238,2011-02-11 18:06:13,"50",109.662521840036,87.2273573221224,"forest",-0.681493022439128,-0.395522902629269,"used"
